movie_name,biehn_scale_rating,biehn_yes_or_no,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score,primary_genre_Comedy,primary_genre_Crime,primary_genre_Action,primary_genre_Drama,primary_genre_Adventure,primary_genre_Documentary,primary_genre_Family,primary_genre_Western,primary_genre_Horror,primary_genre_Mystery,primary_genre_Thriller,primary_genre_War,primary_genre_Science Fiction,primary_genre_Music,primary_genre_Animation,primary_genre_nan,primary_genre_Fantasy,secondary_genre_nan,secondary_genre_Drama,secondary_genre_Adventure,secondary_genre_Science Fiction,secondary_genre_Action,secondary_genre_Family,secondary_genre_History,secondary_genre_Animation,secondary_genre_Crime,secondary_genre_Thriller,secondary_genre_Horror,secondary_genre_Fantasy,secondary_genre_Mystery,secondary_genre_Comedy,secondary_genre_Romance,secondary_genre_Music,movie_age
El Camino,6.1,1,0,0,85,6.8,77,5.2,478.0,2020.0,59,50.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
Midsomer,3.2,0,0,0,93,6.0,2,7.5,623.0,2005.0,59,50.0,59.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
The King,7.7,1,12000000,2000371,93,4.8,92,3.1,4261.0,2010.0,59,50.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.0
Midnight Family,6.1,1,0,0,81,7.3,49,7.4,1697.0,2019.0,97,81.0,81.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
The Hunt,3.5,0,14000000,8621288,90,6.7,2052,6.5,92681.0,2020.0,57,50.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
The Invisible Man,8.1,1,7000000,130234661,124,7.2,4171,7.1,198947.0,2020.0,59,72.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
The Platform,7.4,1,0,0,101,7.0,3,6.3,23.0,2019.0,59,50.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Edward Scissorhands,5.8,0,20000000,53000000,105,7.7,10415,7.9,466204.0,1990.0,90,74.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
The Gentlemen,7.8,1,22000000,114996853,113,7.7,3724,7.8,287505.0,2019.0,59,51.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
Kung Fu Hustle,8.9,1,20000000,101434304,99,7.4,1978,7.7,133931.0,2004.0,91,78.0,89.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0
Starship Troopers,9.4,1,105000000,121214377,129,7.0,3581,7.2,281615.0,1997.0,66,51.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.0
Signs,6.6,1,72000000,408247917,106,6.6,4295,6.7,350637.0,2002.0,74,59.0,59.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0
21 Jump Street,8.0,1,42000000,201585328,109,6.9,8546,7.2,532911.0,2012.0,85,69.0,82.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0
Extraction,6.1,1,65000000,0,116,7.4,4227,6.7,182902.0,2020.0,67,56.0,69.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
A Bronx Tale,8.6,1,10000000,17287898,121,7.8,1507,7.8,135096.0,1993.0,97,80.0,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.0
Jumanji,9.7,1,125000000,800059707,123,7.0,6418,6.7,222307.0,2019.0,71,58.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Jumanji: Welcome to the Jungle,5.9,1,90000000,962102237,119,6.8,11204,6.9,349709.0,2017.0,76,58.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
Jumanji: Next Level,3.0,0,125000000,800059707,123,7.0,6418,6.7,222307.0,2019.0,71,58.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Ready or Not,4.4,0,6000000,57615777,95,7.0,2848,6.9,131651.0,2019.0,88,64.0,59.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
Crawl,7.5,1,13500000,89203432,88,6.3,2331,6.1,78841.0,2019.0,83,60.0,75.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0
Eurovision Song Contest: The Story of Fire Saga,5.3,1,0,0,123,6.4,974,6.5,87288.0,2020.0,63,50.0,77.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
The Old Guard,6.0,1,70000000,0,125,7.3,3082,6.7,148929.0,2020.0,80,70.0,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Booksmart,8.1,1,6000000,24849029,102,7.1,1899,7.2,108387.0,2019.0,96,84.0,77.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Scary Stories to Tell in the Dark,6.2,1,25000000,95438172,108,6.5,1994,6.2,70201.0,2019.0,77,61.0,72.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
Palm Springs,8.9,1,0,164000,90,7.3,1875,7.4,136443.0,2020.0,95,83.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
Beverly Hills Ninja,8.6,1,0,0,88,5.7,570,5.6,40621.0,1997.0,14,27.0,53.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.0
The Girl Next Door,7.3,0,21000000,31635150,110,6.7,2578,6.7,216735.0,2004.0,56,47.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.0
Talladega Nights: The Ballad of Ricky Bobby,8.9,1,72500000,162966177,107,6.4,1192,6.6,176460.0,2006.0,71,66.0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
Pineapple Express,9.7,1,27000000,101624843,111,6.6,2910,6.9,327833.0,2008.0,59,64.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
