movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score
Schindler's List,8.0,Yes,424,tt0108052,22000000,Drama,History,38.542,321365567,195,8.6,12060,8.9,1277636.0,1993.0,98%,94,97
The Darkest Hour,7.5,Yes,71469,tt1093357,30000000,Horror,Action,19.023,64626786,89,5.3,1132,4.9,60085.0,2011.0,12%,18,25
Three Billboards Outside Ebbing Missouri,6.5,No,359940,tt5027774,15000000,Crime,Drama,19.957,160192031,115,8.1,8148,8.1,471825.0,2017.0,90%,88,87
Ladybird,5.0,Yes,49980,tt0110296,0,Drama,,6.117,0,101,7.3,59,7.4,3439.0,1994.0,75%,N/A,85
Futile and Stupid Gesture,7.5,Yes,391710,tt5566790,10000000,Comedy,,10.043,0,101,6.5,252,6.8,15118.0,2018.0,67%,55,71
The Cloverfield Paradox,2.0,No,384521,tt2548396,45000000,Horror,Science Fiction,20.882,0,102,5.6,2546,5.5,100914.0,2018.0,21%,37,42
Black Panther,7.5,Yes,284054,tt1825683,200000000,Action,Adventure,99.862,1346739107,134,7.4,18200,7.3,687160.0,2018.0,96%,88,79
Ready Player One,7.5,Yes,333339,tt1677720,175000000,Science Fiction,Adventure,99.966,582890172,140,7.6,12199,7.4,403432.0,2018.0,72%,64,77
A Quiet Place,9.0,Yes,520763,tt8332922,61000000,Science Fiction,Thriller,241.923,297372261,97,7.7,3358,7.3,175490.0,2020.0,91%,71,
Avengers: Infinity War,8.0,Yes,299536,tt4154756,300000000,Adventure,Action,440.955,2046239637,149,8.3,23138,8.4,943024.0,2018.0,85%,68,91
The Disaster Artist,9.5,Yes,371638,tt3521126,10000000,Comedy,Drama,12.994,29820616,104,7.1,2923,7.3,146541.0,2017.0,91%,76,85
Annihilation,3.0,No,300668,tt2798920,40000000,Science Fiction,Horror,34.299,43070915,115,6.4,6819,6.8,301802.0,2018.0,88%,79,66
Sicario Day of the Soldado ,5.0,Yes,400535,tt5052474,35000000,Action,Crime,58.266,75836683,122,6.9,2547,7.1,137984.0,2018.0,62%,61,65
Mission Impossible: Fallout,9.0,Yes,353081,tt4912910,178000000,Action,Adventure,48.992,791017452,147,7.4,6236,7.7,310968.0,2018.0,97%,86,88
It Comes at Night,8.5,Yes,418078,tt4695012,5000000,Drama,Horror,27.438,19280931,91,5.8,1841,6.2,89593.0,2017.0,87%,78,44
Hush,7.0,Yes,537056,tt8752440,0,Science Fiction,Crime,29.142,0,82,7.3,572,6.9,16710.0,2019.0,88%,N/A,
The Conjuring 2,6.5,Yes,259693,tt3065204,40000000,Horror,Thriller,105.632,320392818,134,7.3,6433,7.3,252663.0,2016.0,80%,65,81
Annabelle Creation,7.5,Yes,396422,tt5140878,15000000,Horror,Mystery,66.491,306515884,109,6.6,4538,6.5,125025.0,2017.0,71%,62,67
The Witch,8.0,Yes,310131,tt4263482,4000000,Horror,Drama,47.736,40423945,92,6.8,5095,6.9,227960.0,2015.0,90%,83,59
The Ritual,6.0,No,433808,tt5638642,10000000,Horror,Thriller,25.142,1785977,94,6.2,2108,6.3,89108.0,2017.0,74%,57,60
Unbreakable,9.0,Yes,9741,tt0217869,75000000,Thriller,Drama,21.935,248118121,106,7.1,7449,7.3,403363.0,2000.0,70%,62,
Patient Zero,5.0,No,295011,tt3458254,0,Horror,Thriller,14.177,0,87,5.2,262,4.5,8615.0,2018.0,14%,N/A,25
Deadpool 2,8.0,Yes,383498,tt5463162,110000000,Action,Comedy,128.986,786365638,119,7.5,13958,7.7,526683.0,2018.0,84%,66,85
Raw,6.0,No,2099,tt0091828,8500000,Action,Crime,12.12,16209459,106,5.8,562,5.6,33263.0,1986.0,29%,44,
Littlest Reich,6.5,Yes,396321,tt5685006,0,Horror,Comedy,8.383,0,90,5.7,99,5.4,3774.0,2018.0,70%,52,
Jigsaw,2.0,No,298250,tt3348730,10000000,Horror,Crime,27.777,102952888,92,6.2,2837,5.8,75388.0,2017.0,32%,39,89
The Endless,5.0,No,430231,tt3986820,1000000,Science Fiction,Horror,9.665,956425,112,6.3,718,6.5,39046.0,2017.0,92%,80,67
Happy Death Day,7.5,Yes,440021,tt5308322,4800000,Horror,Mystery,23.198,122637878,97,6.6,5002,6.6,130363.0,2017.0,72%,58,67
Hereditary,9.5,Yes,493922,tt7784604,10000000,Horror,Mystery,44.756,80239658,127,7.2,5387,7.3,276047.0,2018.0,89%,87,68
Isle of Dogs,8.0,Yes,399174,tt5104604,62770198,Adventure,Comedy,18.784,64241499,101,7.9,3631,7.9,154681.0,2018.0,90%,82,87
The Shape of Water,7.5,Yes,399055,tt5580390,19500000,Drama,Fantasy,33.049,194989655,123,7.3,10198,7.3,396797.0,2017.0,92%,87,72
Hold the Dark,5.0,Yes,395841,tt5057140,0,Thriller,Mystery,13.231,0,126,5.3,727,5.6,35638.0,2018.0,71%,63,31
A Star is Born,9.0,Yes,332562,tt1517451,36000000,Drama,Romance,56.333,433888866,136,7.5,9826,7.6,359719.0,2018.0,90%,88,
