movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count
Annabelle Creation,7.5,Yes,396422,tt5140878,15000000,Horror,Mystery,74.475,306515884,109,6.6,4529
The Witch,8.0,Yes,23047,tt0479997,40000000,Adventure,Fantasy,84.442,91627228,95,5.4,1913
The Ritual,6.0,No,433808,tt5638642,10000000,Horror,Thriller,25.174,1785977,94,6.2,2100
Unbreakable,9.0,Yes,9741,tt0217869,75000000,Thriller,Drama,31.54,248118121,106,7.1,7428
Patient Zero,5.0,No,295011,tt3458254,0,Horror,Thriller,32.254,0,87,5.2,260
Deadpool 2,8.0,Yes,383498,tt5463162,110000000,Action,Comedy,114.609,786365638,119,7.5,13915
Raw,6.0,No,2099,tt0091828,8500000,Action,Crime,10.538,16209459,106,5.8,559
Littlest Reich,6.5,Yes,396321,tt5685006,0,Horror,Comedy,7.572,0,90,5.7,99
Jigsaw,2.0,No,298250,tt3348730,10000000,Horror,Crime,36.744,102952888,92,6.2,2830
The Endless,5.0,No,430231,tt3986820,1000000,Science Fiction,Horror,12.017,956425,112,6.3,711
Happy Death Day,7.5,Yes,440021,tt5308322,4800000,Horror,Mystery,25.198,122637878,97,6.6,4991
Hereditary,9.5,Yes,493922,tt7784604,10000000,Horror,Mystery,39.724,80239658,127,7.2,5370
Isle of Dogs,8.0,Yes,399174,tt5104604,62770198,Adventure,Comedy,21.319,64241499,101,7.9,3607
The Shape of Water,7.5,Yes,399055,tt5580390,19500000,Drama,Fantasy,45.909,194989655,123,7.3,10165
Hold the Dark,5.0,Yes,395841,tt5057140,0,Thriller,Mystery,15.116,0,126,5.3,723
A Star is Born,9.0,Yes,332562,tt1517451,36000000,Drama,Romance,39.533,433888866,136,7.5,9779
You Were Never Really Here,5.0,No,398181,tt5742374,0,Thriller,Drama,15.965,10891281,89,6.5,2103
Outlaw King,7.5,Yes,454227,tt6679794,0,Action,History,14.844,0,122,6.8,1140
The Christmas Chronicles,8.0,Yes,654028,tt11057644,0,Family,Fantasy,120.64,0,112,6.6,657
Bohemian Rhapsody,8.0,Yes,424694,tt1727824,52000000,Music,Drama,77.51,894027543,135,8.0,13852
Bandersnatch,9.6,Yes,569547,tt9495224,0,Science Fiction,Mystery,16.213,0,90,6.8,3167
Bird Box,7.5,Yes,405774,tt2737304,19800000,Thriller,Drama,54.219,0,124,6.9,7941
Polar,5.2,Yes,5255,tt0338348,165000000,Animation,Family,78.301,310634054,100,6.7,4759
Alita Battle Angel,8.6,Yes,399579,tt0437086,170000000,Action,Science Fiction,58.568,404852543,122,7.2,7032
Triple Frontier,4.7,No,399361,tt1488606,0,Action,Thriller,24.925,0,125,6.3,2397
The Dirt,6.9,Yes,327331,tt0800325,0,Drama,Music,15.826,0,108,7.5,885
The Highwaymen,3.0,No,500682,tt1860242,49000000,Crime,Drama,15.301,0,133,6.7,1510
The Silence,0.9,No,527261,tt7315484,0,Horror,Drama,26.02,2325977,91,6.0,1116
Avengers: Endgame,9.7,Yes,299534,tt4154796,356000000,Adventure,Science Fiction,209.225,2797800564,181,8.3,19475
Pet Sematary,4.6,No,8913,tt0098084,11500000,Horror,,30.68,57469467,103,6.6,1556
The Perfection,6.0,Yes,529962,tt7772580,0,Horror,Thriller,16.439,0,90,6.6,994
Bad Times at the El Royale,7.4,Yes,446021,tt6628394,32000000,Thriller,Drama,12.394,31882724,141,6.8,2696
Rocketman ,9.3,Yes,504608,tt2066051,40000000,Music,Drama,21.203,167323950,121,7.4,3540
Gone Baby Gone,8.0,Yes,4771,tt0452623,19000000,Crime,Drama,12.747,34619699,113,7.3,2797
Ad Astra,6.8,Yes,419704,tt2935510,87500000,Science Fiction,Drama,15.876,132807427,123,6.1,5094
Joker,9.6,Yes,475557,tt7286456,55000000,Crime,Thriller,126.509,1074251311,122,8.2,19012
El Camino,6.1,Yes,749618,tt12481806,0,Animation,Family,88.69,0,85,6.9,76
Midsomer,3.2,No,749589,tt0647495,0,Crime,,1.606,0,93,6.0,2
The King,7.7,Yes,44571,tt1038685,12000000,Action,Thriller,117.782,2000371,93,4.7,90
Midnight Family,6.1,Yes,566367,tt6010976,0,Documentary,,5.999,0,81,7.3,49
